"state","year","party","votes"
"Assam",2011,"ASDC","0.07"
"Assam",2001,"NCP","2.51"
"Assam",2006,"NCP","2.22"
"Assam",2011,"NCP","0.43"
"Assam",2016,"NCP","0.27"
"Assam",2006,"AUDF","9.2"
"Assam",2006,"AGP(P)","2.72"
"Assam",2011,"BOPF","6.13"
"Assam",2016,"BOPF","3.94"
"Assam",2011,"AIUDF","12.57"
"Assam",2016,"AIUDF","13.05"
"Meghalaya",1972,"INC","9.89"
"Meghalaya",1978,"INC","28.96"
"Meghalaya",1983,"INC","27.68"
"Meghalaya",1988,"INC","32.65"
"Meghalaya",1993,"INC","34.62"
"Meghalaya",1998,"INC","35.03"
"Meghalaya",2003,"INC","29.96"
"Meghalaya",2008,"INC","32.9"
"Meghalaya",2013,"INC","33.07"
"Meghalaya",1972,"AHL","35.67"
"Meghalaya",1978,"AHL","24.92"
"Meghalaya",1983,"AHL","25.07"
"Meghalaya",1972,"CPI","0.57"
"Meghalaya",1978,"CPI","0.62"
"Meghalaya",1983,"CPI","0.52"
"Meghalaya",1988,"CPI","0.36"
"Meghalaya",1993,"CPI","0.14"
"Meghalaya",1998,"CPI","0.17"
"Meghalaya",2003,"CPI","0.06"
"Meghalaya",2008,"CPI","0.03"
"Meghalaya",2013,"CPI","0.18"
"Meghalaya",1972,"IND","53.86"
"Meghalaya",1978,"IND","24.82"
"Meghalaya",1983,"IND","22.49"
"Meghalaya",1988,"IND","19.59"
"Meghalaya",1993,"IND","17.27"
"Meghalaya",1998,"IND","16.16"
"Meghalaya",2003,"IND","12.16"
"Meghalaya",2008,"IND","13.23"
"Meghalaya",2013,"IND","8.21"
"Meghalaya",1978,"HPD","19.24"
"Meghalaya",1983,"HPD","19.32"
"Meghalaya",1988,"HPD","12.68"
"Meghalaya",1978,"INC(I)","1.44"
"Meghalaya",1983,"PDC","4.92"
"Meghalaya",1988,"PDC","3.2"
"Meghalaya",1988,"AHL(A)","4.68"
"Meghalaya",1988,"HPU","26.84"
"Meghalaya",1993,"HPU","21.54"
"Meghalaya",1993,"BJP","3.68"
"Meghalaya",1998,"BJP","5.01"
"Meghalaya",2003,"BJP","5.42"
"Meghalaya",2008,"BJP","2.67"
"Meghalaya",2013,"BJP","45.17"
"Meghalaya",1993,"AHLC(AM)","7.93"
"Meghalaya",1993,"HPSD","9.8"
"Meghalaya",1998,"UDP","26.99"
"Meghalaya",2003,"UDP","15.99"
"Meghalaya",2008,"UDP","18.37"
"Meghalaya",1998,"PDM","6.95"
"Meghalaya",2003,"PDM","1.8"
"Meghalaya",1998,"HPDP","6.77"
"Meghalaya",2003,"HPDP","4.94"
"Meghalaya",2003,"NCP","19.4"
"Meghalaya",2008,"NCP","20.76"
"Meghalaya",2013,"NCP","0.23"
"Meghalaya",2003,"MDP","5.31"
"Meghalaya",2008,"MDP","2.78"
"Meghalaya",2008,"HSPDP","3.83"
"Meghalaya",2003,"KHNAM","3.62"
"Meghalaya",2008,"KHNAM","4.43"
"Meghalaya",2013,"NOTA","1.91"
"Meghalaya",2013,"BSP","3.37"
"Meghalaya",2013,"NPEP","4.25"
"Haryana",1967,"SSP","3.57"
"Haryana",1968,"SSP","0.94"
"Haryana",1967,"BJS","14.4"
"Haryana",1968,"BJS","10.45"
"Haryana",1972,"BJS","6.55"
"Haryana",1967,"SWA","3.18"
"Haryana",1968,"SWA","8.18"
"Haryana",1967,"IND","32.94"
"Haryana",1968,"IND","17.11"
"Haryana",1972,"IND","23.57"
"Haryana",1977,"IND","28.64"
"Haryana",1982,"IND","26.53"
"Haryana",1987,"IND","18.5"
"Haryana",1991,"IND","13.66"
"Haryana",1996,"IND","15.38"
"Haryana",2000,"IND","16.9"
"Haryana",2005,"IND","13.7"
"Haryana",2009,"IND","13.16"
"Haryana",2014,"IND","10.6"
"Haryana",1967,"RPI","2.9"
"Haryana",1968,"RPI","1.6"
"Haryana",1972,"RPI","0.21"
"Haryana",1977,"RPI","0.05"
"Haryana",1991,"RPI","0.01"
"Haryana",1996,"RPI","0.01"
"Haryana",2000,"RPI","0.62"
"Haryana",2009,"RPI","0"
"Haryana",1967,"INC","41.35"
"Haryana",1968,"INC","43.83"
"Haryana",1972,"INC","46.91"
"Haryana",1977,"INC","17.15"
"Haryana",1982,"INC","37.59"
"Haryana",1987,"INC","29.19"
"Haryana",1991,"INC","33.75"
"Haryana",1996,"INC","20.84"
"Haryana",2000,"INC","31.22"
"Haryana",2005,"INC","42.46"
"Haryana",2009,"INC","35.08"
"Haryana",2014,"INC","20.59"
"Haryana",1968,"VHP","14.86"
"Haryana",1972,"VHP","6.94"
"Haryana",1977,"VHP","5.96"
"Haryana",1991,"VHP","0.01"
"Haryana",1968,"BKD","1.9"
"Haryana",1972,"BKD","0.04"
"Haryana",1972,"NCO","10.8"
"Haryana",1972,"BAS","2.21"
"Haryana",1967,"CPM","0.54"
"Haryana",1968,"CPM","0.14"
"Haryana",1972,"CPM","0.36"
"Haryana",1977,"CPM","0.61"
"Haryana",1982,"CPM","0.38"
"Haryana",1987,"CPM","0.78"
"Haryana",1991,"CPM","0.81"
"Haryana",1996,"CPM","0.18"
"Haryana",2000,"CPM","0.25"
"Haryana",2005,"CPM","0.14"
"Haryana",2009,"CPM","0.15"
"Haryana",2014,"CPM","0.13"
"Haryana",1977,"JNP","46.7"
"Haryana",1982,"JNP","3.2"
"Haryana",1987,"JNP","0.84"
"Haryana",1967,"CPI","0.9"
"Haryana",1968,"CPI","0.32"
"Haryana",1972,"CPI","1.98"
"Haryana",1977,"CPI","0.77"
"Haryana",1982,"CPI","0.75"
"Haryana",1987,"CPI","0.54"
"Haryana",1991,"CPI","0.23"
"Haryana",1996,"CPI","0.24"
"Haryana",2000,"CPI","0.19"
"Haryana",2005,"CPI","0.14"
"Haryana",2009,"CPI","0.12"
"Haryana",2014,"CPI","0.1"
"Haryana",1982,"BJP","7.67"
"Haryana",1987,"BJP","10.08"
"Haryana",1991,"BJP","9.44"
"Haryana",1996,"BJP","8.89"
"Haryana",2000,"BJP","8.94"
"Haryana",2005,"BJP","10.36"
"Haryana",2009,"BJP","9.04"
"Haryana",2014,"BJP","33.2"
"Haryana",1982,"LKD","23.87"
"Haryana",1987,"LKD","38.6"
"Haryana",1991,"LKD","0.09"
"Haryana",1987,"LKD(A)","1.36"
"Haryana",1991,"JD","4.49"
"Haryana",1996,"JD","0.85"
"Haryana",1991,"HVP","12.55"
"Haryana",1996,"HVP","22.69"
"Haryana",2000,"HVP","5.55"
"Haryana",1991,"JP","22.05"
"Haryana",1996,"JP","0.14"
"Haryana",2000,"JP","0.01"
"Haryana",1991,"BSP","2.33"
"Haryana",1996,"BSP","5.44"
"Haryana",2000,"BSP","5.74"
"Haryana",2005,"BSP","3.22"
"Haryana",2009,"BSP","6.73"
"Haryana",2014,"BSP","4.37"
"Haryana",1996,"SAP","20.59"
"Haryana",2000,"INLD","29.61"
"Haryana",2005,"INLD","26.77"
"Haryana",2009,"INLD","25.79"
"Haryana",2014,"INLD","24.11"
"Haryana",2005,"ES","1.37"
"Haryana",2009,"ES","0.2"
"Haryana",2009,"HJCBL","7.4"
"Haryana",2014,"HJCBL","3.57"
"Punjab",1962,"SWA","3.88"
"Punjab",1967,"SWA","0.51"
"Punjab",1969,"SWA","0.91"
"Punjab",1972,"SWA","0.03"
"Punjab",1962,"AD","11.87"
"Punjab",1962,"JS","9.72"
"Punjab",1962,"CPI","7.1"
"Punjab",1967,"CPI","5.2"
"Punjab",1969,"CPI","4.84"
"Punjab",1972,"CPI","6.51"
"Punjab",1977,"CPI","6.59"
"Punjab",1980,"CPI","6.46"
"Punjab",1985,"CPI","4.44"
"Punjab",1992,"CPI","3.64"
"Punjab",1997,"CPI","2.98"
"Punjab",2002,"CPI","2.15"
"Punjab",2007,"CPI","0.76"
"Punjab",2012,"CPI","0.82"
"Punjab",1962,"INC","43.72"
"Punjab",1967,"INC","37.45"
"Punjab",1969,"INC","39.18"
"Punjab",1972,"INC","42.84"
"Punjab",1977,"INC","33.59"
"Punjab",1985,"INC","37.86"
"Punjab",1992,"INC","43.83"
"Punjab",1997,"INC","26.59"
"Punjab",2002,"INC","35.81"
"Punjab",2007,"INC","40.9"
"Punjab",2012,"INC","40.09"
"Punjab",1962,"IND","17.17"
"Punjab",1967,"IND","16.05"
"Punjab",1969,"IND","8.89"
"Punjab",1972,"IND","12.29"
"Punjab",1977,"IND","9.57"
"Punjab",1980,"IND","6.52"
"Punjab",1985,"IND","11.68"
"Punjab",1992,"IND","9.24"
"Punjab",1997,"IND","10.87"
"Punjab",2002,"IND","11.27"
"Punjab",2007,"IND","6.81"
"Punjab",2012,"IND","6.75"
"Punjab",1967,"BJS","9.84"
"Punjab",1969,"BJS","9.01"
"Punjab",1972,"BJS","4.97"
"Punjab",1967,"ADM","4.2"
"Punjab",1967,"ADS","20.48"
"Punjab",1969,"SAD","29.36"
"Punjab",1972,"SAD","27.64"
"Punjab",1977,"SAD","31.42"
"Punjab",1980,"SAD","26.92"
"Punjab",1985,"SAD","38.01"
"Punjab",1992,"SAD","5.2"
"Punjab",1997,"SAD","37.64"
"Punjab",2002,"SAD","31.08"
"Punjab",2007,"SAD","37.09"
"Punjab",2012,"SAD","34.73"
"Punjab",1967,"CPM","3.26"
"Punjab",1969,"CPM","3.07"
"Punjab",1972,"CPM","3.26"
"Punjab",1977,"CPM","3.5"
"Punjab",1980,"CPM","4.06"
"Punjab",1985,"CPM","1.92"
"Punjab",1992,"CPM","2.4"
"Punjab",1997,"CPM","1.79"
"Punjab",2002,"CPM","0.36"
"Punjab",2007,"CPM","0.28"
"Punjab",2012,"CPM","0.16"
"Punjab",1977,"JNP","14.99"
"Punjab",1985,"JNP","1.09"
"Punjab",1980,"INC(I)","45.19"
"Punjab",1980,"BJP","6.48"
"Punjab",1985,"BJP","4.99"
"Punjab",1992,"BJP","16.48"
"Punjab",1997,"BJP","8.33"
"Punjab",2002,"BJP","5.67"
"Punjab",2007,"BJP","8.28"
"Punjab",2012,"BJP","7.18"
"Punjab",1992,"BSP","16.32"
"Punjab",1997,"BSP","7.48"
"Punjab",2002,"BSP","5.69"
"Punjab",2007,"BSP","4.13"
"Punjab",2012,"BSP","4.29"
"Punjab",1997,"SAD(M)","3.1"
"Punjab",2002,"SAD(M)","4.65"
"Punjab",2007,"SAD(M)","0.52"
"Punjab",2012,"SAD(M)","0.28"
"Punjab",2012,"PPOP","5.04"
"Sikkim",1979,"SJP","31.49"
"Sikkim",1979,"SPC","15.76"
"Sikkim",1985,"SPC","0.45"
"Sikkim",1979,"SCR","20.59"
"Sikkim",1979,"JNP","13.18"
"Sikkim",1985,"JNP","0.94"
"Sikkim",1979,"IND","16.49"
"Sikkim",1985,"IND","11.88"
"Sikkim",1989,"IND","2.73"
"Sikkim",1994,"IND","5.89"
"Sikkim",1999,"IND","1.94"
"Sikkim",2004,"IND","1.76"
"Sikkim",2009,"IND","1.6"
"Sikkim",2014,"IND","0.4"
"Sikkim",1979,"INC","2.04"
"Sikkim",1985,"INC","24.15"
"Sikkim",1989,"INC","18.05"
"Sikkim",1994,"INC","15.02"
"Sikkim",1999,"INC","3.67"
"Sikkim",2004,"INC","26.13"
"Sikkim",2009,"INC","27.64"
"Sikkim",2014,"INC","1.42"
"Sikkim",1979,"CPM","0.33"
"Sikkim",1985,"CPM","0.35"
"Sikkim",1994,"CPM","0.16"
"Sikkim",1999,"CPM","0.19"
"Sikkim",2004,"CPM","0.07"
"Sikkim",2009,"CPM","0.11"
"Sikkim",1985,"SSP","62.2"
"Sikkim",1989,"SSP","70.41"
"Sikkim",1994,"SSP","35.09"
"Sikkim",1999,"SSP","41.88"
"Sikkim",2004,"SSP","0.05"
"Sikkim",1989,"DPC","0.22"
"Sikkim",1989,"RIS","8.59"
"Sikkim",1994,"BJP","0.16"
"Sikkim",2004,"BJP","0.34"
"Sikkim",2009,"BJP","0.78"
"Sikkim",2014,"BJP","0.71"
"Sikkim",1994,"RSP","1.68"
"Sikkim",1994,"SDF","42.01"
"Sikkim",1999,"SDF","52.32"
"Sikkim",2004,"SDF","71.09"
"Sikkim",2009,"SDF","65.91"
"Sikkim",2014,"SDF","55.03"
"Sikkim",2004,"SHRP","0.57"
"Sikkim",2009,"SHRP","2.19"
"Sikkim",2009,"SGPP","1.16"
"Sikkim",2014,"NOTA","1.44"
"Sikkim",2014,"SKM","40.8"
"Manipur",1967,"IND","48.85"
"Manipur",1972,"IND","31.08"
"Manipur",1974,"IND","24.02"
"Manipur",1980,"IND","28.82"
"Manipur",1984,"IND","43.11"
"Manipur",1990,"IND","4.35"
"Manipur",1995,"IND","7.73"
"Manipur",2000,"IND","3.01"
"Manipur",2002,"IND","0.33"
"Manipur",2007,"IND","19.5"
"Manipur",2012,"IND","3.29"
"Manipur",1967,"INC","32.53"
"Manipur",1972,"INC","30.02"
"Manipur",1974,"INC","27.62"
"Manipur",1984,"INC","29.83"
"Manipur",1990,"INC","33.71"
"Manipur",1995,"INC","28.65"
"Manipur",2000,"INC","18.31"
"Manipur",2002,"INC","26.18"
"Manipur",2007,"INC","34.29"
"Manipur",2012,"INC","42.42"
"Manipur",1967,"CPI","5.47"
"Manipur",1972,"CPI","10.13"
"Manipur",1974,"CPI","5.54"
"Manipur",1980,"CPI","7.27"
"Manipur",1984,"CPI","4.15"
"Manipur",1990,"CPI","4.14"
"Manipur",1995,"CPI","5.59"
"Manipur",2000,"CPI","3.6"
"Manipur",2002,"CPI","4.4"
"Manipur",2007,"CPI","5.79"
"Manipur",2012,"CPI","5.78"
"Manipur",1967,"CPM","0.67"
"Manipur",1972,"CPM","0.66"
"Manipur",1974,"CPM","0.56"
"Manipur",1980,"CPM","0.57"
"Manipur",1984,"CPM","0.09"
"Manipur",1995,"CPM","0.2"
"Manipur",2000,"CPM","0.3"
"Manipur",2002,"CPM","0.03"
"Manipur",2007,"CPM","0.08"
"Manipur",2012,"CPM","0.02"
"Manipur",1967,"SSP","11.7"
"Manipur",1967,"PSP","0.77"
"Manipur",1972,"NCO","2.37"
"Manipur",1974,"NCO","1.47"
"Manipur",1972,"MRP","20.17"
"Manipur",1974,"MRP","22.55"
"Manipur",1984,"MRP","10.81"
"Manipur",1972,"SOP","5.35"
"Manipur",1974,"SOP","5.93"
"Manipur",1974,"MHU","9.37"
"Manipur",1980,"JNP","19.76"
"Manipur",1984,"JNP","6.08"
"Manipur",1980,"INC(I)","21.68"
"Manipur",1980,"INC(U)","9.5"
"Manipur",1980,"MPP","6.61"
"Manipur",1990,"MPP","19.4"
"Manipur",1995,"MPP","23.67"
"Manipur",2000,"MPP","7.9"
"Manipur",2002,"MPP","3.03"
"Manipur",2007,"MPP","15.45"
"Manipur",2012,"MPP","4.01"
"Manipur",1984,"ICS","3.26"
"Manipur",1995,"ICS","3.91"
"Manipur",1990,"ICS(SCS)","12.41"
"Manipur",1990,"JD","19.82"
"Manipur",1995,"JD","11.92"
"Manipur",1995,"SAP","6.19"
"Manipur",2000,"SAP","6.68"
"Manipur",2002,"SAP","8.33"
"Manipur",2007,"SAP","0.06"
"Manipur",2000,"NCP","7.87"
"Manipur",2002,"NCP","9.44"
"Manipur",2007,"NCP","8.63"
"Manipur",2012,"NCP","7.23"
"Manipur",2000,"MSCP","26.28"
"Manipur",2002,"MSCP","12.4"
"Manipur",2007,"MSCP","1.86"
"Manipur",2012,"MSCP","8.39"
"Manipur",1984,"BJP","0.71"
"Manipur",1990,"BJP","1.87"
"Manipur",1995,"BJP","3.35"
"Manipur",2000,"BJP","11.28"
"Manipur",2002,"BJP","9.55"
"Manipur",2007,"BJP","0.85"
"Manipur",2012,"BJP","2.12"
"Manipur",1995,"FPM","4.91"
"Manipur",2000,"FPM","9.44"
"Manipur",2002,"FPM","18.14"
"Manipur",2000,"RJD","1.83"
"Manipur",2007,"RJD","6.67"
"Manipur",2012,"AITC","17"
"Manipur",2012,"NPF","7.5"
"Puducherry",1964,"CONG","52.07"
"Puducherry",1964,"INC","0"
"Puducherry",1969,"INC","42.62"
"Puducherry",1974,"INC","15.95"
"Puducherry",1977,"INC","17.43"
"Puducherry",1985,"INC","32.68"
"Puducherry",1990,"INC","25.04"
"Puducherry",1991,"INC","30"
"Puducherry",1996,"INC","25.34"
"Puducherry",2001,"INC","22.78"
"Puducherry",2006,"INC","29.91"
"Puducherry",2011,"INC","25.3"
"Puducherry",2016,"INC","28.94"
"Puducherry",1964,"IND","29.75"
"Puducherry",1969,"IND","11.06"
"Puducherry",1974,"IND","5.71"
"Puducherry",1977,"IND","6.15"
"Puducherry",1980,"IND","10.59"
"Puducherry",1985,"IND","6.39"
"Puducherry",1990,"IND","7.98"
"Puducherry",1991,"IND","9.14"
"Puducherry",1996,"IND","10.21"
"Puducherry",2001,"IND","10.77"
"Puducherry",2006,"IND","13.91"
"Puducherry",2011,"IND","10.28"
"Puducherry",2016,"IND","7.96"
"Puducherry",1964,"PF","18.19"
"Puducherry",1969,"CPI","12.62"
"Puducherry",1974,"CPI","8.45"
"Puducherry",1977,"CPI","5.52"
"Puducherry",1980,"CPI","5.54"
"Puducherry",1985,"CPI","4.74"
"Puducherry",1990,"CPI","5.08"
"Puducherry",1991,"CPI","4.99"
"Puducherry",1996,"CPI","6.51"
"Puducherry",2001,"CPI","1.85"
"Puducherry",2006,"CPI","3.06"
"Puducherry",2011,"CPI","0.95"
"Puducherry",2016,"CPI","1.1"
"Puducherry",1969,"DMK","33.7"
"Puducherry",1974,"DMK","21.89"
"Puducherry",1977,"DMK","13.49"
"Puducherry",1980,"DMK","27.73"
"Puducherry",1985,"DMK","29.08"
"Puducherry",1990,"DMK","24.07"
"Puducherry",1991,"DMK","24.71"
"Puducherry",1996,"DMK","22.9"
"Puducherry",2001,"DMK","17.54"
"Puducherry",2006,"DMK","12.59"
"Puducherry",2011,"DMK","10.86"
"Puducherry",2016,"DMK","9.07"
"Puducherry",1974,"ADK","27.83"
"Puducherry",1977,"ADK","30.96"
"Puducherry",1980,"ADK","18.6"
"Puducherry",1985,"ADK","15.75"
"Puducherry",1990,"ADK","18.17"
"Puducherry",1991,"ADK","17.34"
"Puducherry",1974,"NCO","18.92"
"Puducherry",1977,"JNP","26.45"
"Puducherry",1980,"JNP","9.33"
"Puducherry",1985,"JNP","8.61"
"Puducherry",1980,"INC(I)","23.92"
"Puducherry",1990,"PMK","6.38"
"Puducherry",1991,"PMK","2.92"
"Puducherry",1996,"PMK","2.51"
"Puducherry",2001,"PMK","7.71"
"Puducherry",2006,"PMK","3.8"
"Puducherry",2011,"PMK","2.53"
"Puducherry",2016,"PMK","0.73"
"Puducherry",1990,"JD","9.08"
"Puducherry",1991,"JD","6.73"
"Puducherry",1996,"JD","4.42"
"Puducherry",1996,"ADMK","12.53"
"Puducherry",2001,"ADMK","12.56"
"Puducherry",2016,"ADMK","17.24"
"Puducherry",1996,"TMC(M)","9.23"
"Puducherry",2001,"TMC(M)","7.42"
"Puducherry",2001,"PMC","10.24"
"Puducherry",2006,"PMC","9.4"
"Puducherry",2006,"AIADMK","16.05"
"Puducherry",2011,"AIADMK","13.98"
"Puducherry",2011,"AINRC","32.28"
"Puducherry",2016,"AINRC","28.83"
"Puducherry",1985,"BJP","0.05"
"Puducherry",1990,"BJP","0.51"
"Puducherry",1991,"BJP","0.78"
"Puducherry",1996,"BJP","1.13"
"Puducherry",2001,"BJP","4.65"
"Puducherry",2006,"BJP","3.07"
"Puducherry",2011,"BJP","1.34"
"Puducherry",2016,"BJP","2.47"
"Karnataka",1978,"INC","7.99"
"Karnataka",1983,"INC","40.42"
"Karnataka",1985,"INC","40.83"
"Karnataka",1989,"INC","43.77"
"Karnataka",1994,"INC","26.95"
"Karnataka",1999,"INC","40.84"
"Karnataka",2004,"INC","35.27"
"Karnataka",2008,"INC","34.76"
"Karnataka",2013,"INC","36.6"
"Karnataka",1978,"IND","7.5"
"Karnataka",1983,"IND","15.46"
"Karnataka",1985,"IND","9.45"
"Karnataka",1989,"IND","8.11"
"Karnataka",1994,"IND","9.65"
"Karnataka",1999,"IND","12"
"Karnataka",2004,"IND","6.86"
"Karnataka",2008,"IND","6.92"
"Karnataka",2013,"IND","7.37"
"Karnataka",1978,"JNP","37.95"
"Karnataka",1983,"JNP","33.07"
"Karnataka",1985,"JNP","43.61"
